反照率 Albedo
R髋部活塞2开始 RHipPiston2Start
GIl废墟碎石小型03LOD4 GIlRubbleSmall03Lod4
G气体地雷LOD2 GGasMineLod2
GSe旗帜水平02 GSeFlagHorizontal02
M天线01 MAntenna01
CL前 CLFront
GProspectingDrill01ShadowLod1 GProspectingDrill01ShadowLod1
GShovelShadowLod2 GShovelShadowLod2
Deployed Deployed
G虫族尸体战士身体阴影 GBugCorpseWarriorBodyShadow
交互节点 InteractNode
16x08Proxy 16x08Proxy
R手 RHand
G废墟掩体直线2m01LOD4 GRuinCoverStraight2m01Lod4
CPadsShoulderplateMesh CPadsShoulderplateMesh
C通用碎片小型05 CGenericDebrisSmall05
G岩石岩石小型01阴影 GRockyRockSmall01Shadow
G枪LOD2 GGunLod2
G殖民地建筑小型03阴影 GColonyBuildingSmall03Shadow
WalkLimp WalkLimp
G躯干手臂R女性LOD2 GTorsoArmRFemaleLod2
GHabs地面板01LOD2 GHabsGroundplate01Lod2
MeleeBayonet MeleeBayonet
不透明度使用生命周期 OpacityUseLifetime
C碰撞1 CCollision1
G沙质方形岩石中型03 GSandySquareRockMedium03
GIl尸体躺卧向下01LOD2 GIlCorpseLyingdown01Lod2
半机械人坦克 CyborgTank
MBattleRifle MBattleRifle
MSeafShellStaticField MSeafShellStaticField
Cy箱012堆叠 CyCrate012stack
特效右翼 FxRightWing
CR前顶部面板2 CRFrontTopPanel2
C手臂32箱 CArm32Box
GBeltFedGrenadeLauncherShadowLod2 GBeltFedGrenadeLauncherShadowLod2
通用碎片大型02 GenericDebrisLarge02
附加特效R枪管 AttachFxRBarrel
GCrystalizedE710Sample01Lod1 GCrystalizedE710Sample01Lod1
C碰撞01混凝土9 CCollision01Concrete9
G身体袋堆LOD5 GBodyBagPileLod5
GCy战壕墙中型3mX6 GCyTrenchWallMedium3mX6
G荒原松树01碎肉27 GMoorPinetree01Gibs27
GIl废墟碎石大型01阴影 GIlRubbleLarge01Shadow
CIl遭遇舰船已着陆废墟碎石11 CIlEncounterShipLandedRubble11
GIl墙圆形破损6r GIlWallCircleBroken6r
GHabs通风墙08阴影LOD1 GHabsVentilationWall08ShadowLod1
GIl容器01阴影LOD1 GIlContainer01ShadowLod1
G殖民地管道预制件04LOD2 GColonyPipesPrefab04Lod2
翼顶部损伤 WingTopDamage
前面部碎肉遮罩 FrontFaceGibMask
GRadioLod1 GRadioLod1
披风4 Cape4
GPatiotableSmall01Lod3 GPatiotableSmall01Lod3
GHabs容器大型03阴影LOD2 GHabsContainerLarge03ShadowLod2
G草原岩石战壕01阴影LOD2 GSavannaRockTrench01ShadowLod2
G弹药箱03LOD3 GAmmoBox03Lod3
GHabs尸体01LOD5 GHabsCorpse01Lod5
计算机中心机器人等级2 ComputerHubRoboticsLvl2
G基础光照01头部011 GBaseLight01Head011
GHabs楼梯屋顶出口01 GHabsStairsRoofExit01
菲涅耳低 FresnelLow
G管线环LOD3 GPipelineRingLod3
动作充能 ActionCharge
孢子集群03 SporeCluster03
G弹药箱01阴影 GAmmoBox01Shadow
G喷气步枪 GJetRifle
G岩石柱01LOD2 GRockPillar01Lod2
GPlasmaBlasterLod2 GPlasmaBlasterLod2
地狱舱交互 HellpodInteract
G等离子LOD2 GPlasmaLod2
GIl墙直线低阴影LOD1 GIlWallStraightLowShadowLod1
前髋部板2 FrontHipPlate2
G武器箱关闭01LOD5 GWeaponcrateClosed01Lod5
GMarquee01ShadowLod1 GMarquee01ShadowLod1
细节NAR DetailNar
CBodyCockpit CBodyCockpit
GSuperCreditLod3 GSuperCreditLod3
G通用碎片小型05LOD1 GGenericDebrisSmall05Lod1
GHabs楼梯屋顶出口栏杆01阴影 GHabsStairsRoofExitRailing01Shadow
MReciever MReciever
GBriefcaseShadowLod2 GBriefcaseShadowLod2
C移动10 CMovement10
G电缆01阴影LOD1 GCable01ShadowLod1
ElevateDone ElevateDone
GCy工厂烟囱LOD1 GCyFactoryChimneyLod1
G地狱潜兵雕像废墟碎石阴影LOD1 GHelldiverStatueRubbleShadowLod1
LegendariumSample01 LegendariumSample01
C碰撞30 CCollision30
G半机械人管线直线LOD3 GCyborgPipelineStraightLod3
G光照杆02LOD2 GLightPole02Lod2
Deactive Deactive
舰船 Ship
冲锋枪纳乔装填快速单手 SmgNachoReloadFastOnehand
反转内部辉光菲涅耳 InvertInnerGlowFresnel
G尸体旧躺卧04LOD1 GCorpsesOldLying04Lod1
HealConcussion HealConcussion
驱动Ik手右 DriverIkHandRight
腿右前碎肉 LegRightFrontGibs
L前脚瞄准尖端 LFrontFootAimTip
G废墟碎片直线1m01 GRuinDebrisStraight1m01
R后角翼片1 RBackCornerflap1
GHabs箱大型01阴影LOD1 GHabsCrateLarge01ShadowLod1
附加火箭舱 AttachRocketPod
装填激光步枪 ReloadLaserrifle
CapePodium01 CapePodium01
装填手雷手枪 ReloadGrenadepistol
G通用碎片组填充医疗02LOD4 GGenericDebrisSetFillerMed02Lod4
左后膝盖 LeftBackKnee
L负重轮03位移 LRoadwheel03Translation
C额外脚垫R CExtrafootpadR
G鹰式阴影LOD3 GEagleShadowLod3
GHandAxeLod3 GHandAxeLod3
脊柱2R腿 Spine2RLeg
C炮塔1网格 CTurret1Mesh
EngineL1Fold1 EngineL1Fold1
Piano Piano
C碰撞50 CCollision50
脖颈受损 NeckDamaged
通用碎片大型05 GenericDebrisLarge05
GReceiverShadowLod3 GReceiverShadowLod3
M战壕地面01 MTrenchFloor01
GHabs栏杆1m掩体LOD1 GHabsRailing1mCoverLod1
DestructionVolumes DestructionVolumes
GSawLod3 GSawLod3
G通用碎片组填充医疗01LOD5 GGenericDebrisSetFillerMed01Lod5
FxRThrusterBelly FxRThrusterBelly
故障强度 GlitchIntensity
G战壕地面角落01 GTrenchFloorCorner01
G部件04 GPiece04
G废墟碎石切片02LOD2 GRubbleSlice02Lod2
CCrystalizedE710Sample01 CCrystalizedE710Sample01
地狱舱位置02 HellpodPos02
GHabs栏杆1m掩体阴影LOD2 GHabsRailing1mCoverShadowLod2
C碰撞尾部 CCollisionTail
CICBM基础013 CIcbmBase013
G沙质岩石酸巨型01阴影LOD1 GSandyRockAcidMassive01ShadowLod1
旗帜左1 FlagLeft1
G虫族尸体充电器01LOD4 GBugCorpseCharger01Lod4
GSwordLod2 GSwordLod2
CctvCamera02 CctvCamera02
GIl墙圆形12rLOD1 GIlWallCircle12rLod1
G微型导弹LOD1 GMiniMissileLod1
M碎肉4 MGibs4
CKneecapR CKneecapR
G男性士兵尸体01阴影LOD1 GMaleSoldierCorpse01ShadowLod1
激光 Laser
FanM01 FanM01
C天气叶片1 CWeatherVane1
G背包轻机枪LOD1 GBackpackLmgLod1
G激光炮炮塔LOD3 GLaserCannonTurretLod3
InflateAss InflateAss
爪右插座 ClawRightSocket
GHabsParkbench01Debris GHabsParkbench01Debris
Cy火炮外壳空堆大型01 CyArtilleryShellEmptyPileBig01
G额外屏幕07LOD2 GExtraScreen07Lod2
正弦速度 SineSpeed
RFrontSteering RFrontSteering
GHabs栏杆角落掩体LOD5 GHabsRailingCornerCoverLod5
GIl电缆009LOD3 GIlCables009Lod3
装填锤 ReloadHammer
Cha充电器 ChaCharger
G计算机中心机器人等级4LOD2 GComputerHubRoboticsLvl4Lod2
肩部右受损 ShoulderRightDamaged
装填机枪 ReloadMg
L下部肩部 LLowerShoulder
G岩石战壕02LOD3 GRockTrench02Lod3
EmissiveYellow EmissiveYellow
G腿部髋部内衣套件女性LOD1 GLegsHipsUndergarmentKitFemaleLod1
C巢穴领主端部件04 CHiveLordEndpiece04
G岩石柱05阴影LOD2 GRockPillar05ShadowLod2
G手雷手枪阴影LOD2 GGrenadePistolShadowLod2
牙齿07 Tooth07
R爪剔除 RClawCull
GSe中型墙柱顶部LOD4 GSeWallmedPillarTopLod4
G机库箱小型02 GHangarCrateSmall02
RBackEngineRollCull RBackEngineRollCull
头部光照左 HeadlightLeft
GSe碉堡墙60阴影 GSePillboxWall60Shadow
Habs栅栏3x HabsFence3x
G生成器01LOD5 GGenerator01Lod5
星云缩放 NebScale
C盖 CLid
C4ChargeDetonator C4ChargeDetonator
G半机械人投放舰已摧毁01阴影 GCyborgDropshipDestroyed01Shadow
底部渐变乘数 BottomGradMult
抖动26 Jiggle26
G虫族岩石尖刺01 GBugRockSpike01
C废墟碎石3 CRubble3
GHabs墙天气结束01LOD3 GHabsWallWeatherEnd01Lod3
掩体11 Cover11
C枪废墟碎石 CGunRubble
GSe中型墙柱完整阴影 GSeWallmedPillarFullShadow
墓碑02 Headstone02
G通用碎片组填充医疗01 GGenericDebrisSetFillerMed01
GHabs容器大型03LOD3 GHabsContainerLarge03Lod3
GReceiver GReceiver
GIl独石废墟碎石 GIlMonolithRubble
G血肉LOD3 GGoreLod3
LfWing02 LfWing02
CGreenCorpBiosphere02 CGreenCorpBiosphere02
R爪 RClaw
G躯干套件女性LOD2 GTorsoKitFemaleLod2
G射手步枪标准弹匣阴影 GMarksmanrifleStandardMagazineShadow
绘制C4结束 DrawC4End
M沼泽英雄树大型 MSwampHeroTreeLarge
R后引擎翼片B2 RBackEngineFlapB2
RotatingBlade RotatingBlade
G草原英雄悬崖02阴影 GSavannaHeroCliff02Shadow
GHabs楼梯门短直线01 GHabsStairsDoorShortStraight01
CameraBandFilter CameraBandFilter
废墟碎石网格切片02 RubbleMeshSlice02
G巢穴领主小型下颌 GHiveLordSmallMandible
GIl墙圆形12rLOD3 GIlWallCircle12rLod3
GCy地雷01LOD5 GCyMine01Lod5
膝盖上部L KneeUpperL
ReloadMagnumFastOnehand ReloadMagnumFastOnehand
G箱大型空盖01碎片04 GCrateBigEmptyLid01Debris04
G岩石岩石小型01 GRockyRockSmall01
脊柱上部1 SpineUpper1
半机械人投放舰已摧毁引擎01 CyborgDropshipDestroyedEngine01
GCyborgCoolingPipeValveHorizontalShadowLod1 GCyborgCoolingPipeValveHorizontalShadowLod1
G岩石山02阴影LOD2 GRockyMountain02ShadowLod2
G基础光照01头部01LOD3 GBaseLight01Head01Lod3
GIl遭遇舰船已着陆废墟碎石阴影 GIlEncounterShipLandedRubbleShadow
R头部055关节 RHead055Jnt
M袋 MPouch
基础光照01 BaseLight01
ClimbRef ClimbRef
G黑色箱01LOD1 GBlackBox01Lod1
G鲸骨骼03阴影LOD1 GWhaleBone03ShadowLod1
GBallisticShieldBackpackMk2Shadow GBallisticShieldBackpackMk2Shadow
GCyRemainsBackpackLod4 GCyRemainsBackpackLod4
G激光炮炮塔 GLaserCannonTurret
位移通道 DisplacementChannel
GColonyDumpster01Lod2 GColonyDumpster01Lod2
GSe管线弯曲阴影 GSePipelineBendShadow
G投影关闭01LOD5 GDropoff01Lod5
GHellbombShadow GHellbombShadow
软管05 Hose05
遗物样本01 ArtifactSample01
空气控制塔 AirControlTower
微型导弹发射井 MiniMissileSilo
GIl平台直线LOD5 GIlPlatformStraightLod5
水容器01 WaterContainer01
特效锁上部 FxLockUpper
ReloadKarbinFast ReloadKarbinFast
GHabs储存墙01阴影LOD2 GHabsStorageWall01ShadowLod2
GCy火炮外壳空堆小型01LOD3 GCyArtilleryShellEmptyPileSmall01Lod3
G就绪架阴影LOD1 GReadyRackShadowLod1
CIl遭遇舰船已着陆废墟碎石12 CIlEncounterShipLandedRubble12
G通用碎片组填充大型02阴影LOD1 GGenericDebrisSetFillerLrg02ShadowLod1
MHabs栅栏01 MHabsFence01
G太阳面板01碎片1 GSolarPanel01Debris1
虫族岩石孔01 BugRockHole01
G无人机喷火器背包LOD1 GDroneFlamethrowerBackpackLod1
GGenericDebrisCleanLod2 GGenericDebrisCleanLod2
GCctvCamera01Lod1 GCctvCamera01Lod1
L头部062关节 LHead062Jnt
光照脖颈 LightNeck
征召兵身体01 ConscriptBody01
G手雷发射器弹药破片LOD5 GGrenadeLauncherAmmoFragLod5
G巨大集水器01 GHugeWatercollector01
LTuskLength LTuskLength
Rp Rp
LFrontTopPanel2Hydralik LFrontTopPanel2Hydralik
溶解 Dissolve
贴花粗糙度混合 DecalRoughnessBlend
套件外部墙10m KitOuterwall10m
StrategemBarrelSeDest02 StrategemBarrelSeDest02
GCy垃圾组01阴影LOD2 GCyTrashSet01ShadowLod2
Startled Startled
废墟碎石阴影Rc RubbleShadowRc
G轮胎02LOD2 GTire02Lod2
C废墟碎石碰撞10 CRubbleCollision10
G手雷发射器弹药破片阴影 GGrenadeLauncherAmmoFragShadow
L后引擎翼片L1 LBackEngineFlapL1
G研究基地废墟碎石LOD2 GResearchStationRubbleLod2
战壕地面1x2 TrenchFloor1x2
C子弹6 CBullet6
C碰撞88 CCollision88
G管道堆01碎片05 GPipesPile01Debris05
C木桶船体 CBarrelsHull
GForkliftLod3 GForkliftLod3
弹药09 Ammo09
CylinderPrimitive CylinderPrimitive
G弹匣 GMag
GFrv机枪LOD5 GFrvMgLod5
掩体15 Cover15
通风口1 Vent1
NAR纹理A NarTexA
窗右12 WindowRight12
位移最小最大 DisplacementMinMax
ChaWarMachineCentipede ChaWarMachineCentipede
KneecapLWhole KneecapLWhole
G冲锋枪纳乔阴影LOD1 GSmgNachoShadowLod1
G虫族样本02阴影LOD2 GBugSample02ShadowLod2
旗帜右2 FlagRight2
G平台套件方形8x GPlatformKitSquare8x
GBugSpawnerShrieker GBugSpawnerShrieker
墙方块01 WallBlock01
G弹道护盾背包小型阴影LOD3 GBallisticShieldBackpackSmallShadowLod3
特效开启部署 FxOnDeploy
柜台直线01 CounterStraight01
C尾部 CTail
废墟掩体直线2m02 RuinCoverStraight2m02
右防水布 RightTarp
G岩石柱02LOD1 GRockyPillar02Lod1
GSe中型墙墙顶部第三LOD4 GSeWallmedWallTopThirdLod4
GIl电缆008阴影 GIlCables008Shadow
门打开 DoorsOpen
GMarquee01Lod1 GMarquee01Lod1
G水容器01LOD3 GWaterContainer01Lod3
G容器09LOD1 GContainer09Lod1
C碰撞废墟碎石1 CCollisionRubble1
R肩部垫 RShoulderpad
破坏体积01 DestructionVolume01
G计量器 GMeter
特效光照01 FxLight01
C导航7 CNavigation7
平台套件墙角落02 PlatformKitWallCorner02
G孢子集群04LOD2 GSporeCluster04Lod2
GCy箱011x2碎片03 GCyCrate011x2Debris03
G荒原松树02碎肉7 GMoorPinetree02Gibs7
生成门 SpawnDoor
G闸门01LOD2 GGate01Lod2
向量推进器前 VectorThrusterFront
法线02平铺 Nrm02Tile
CubePrimitive2 CubePrimitive2
C俯仰箱 CPitchBox
UV顶点遮罩V指数 UvVertexMaskVExp
C完整9 CWhole9
RetractDone RetractDone
左扬声器受损 LeftSpeakerDamaged
头盔材质 HelmetMaterial
GRecieverShadowLod2 GRecieverShadowLod2
CargoCar CargoCar
C头部0148关节 CHead0148Jnt
R下部肘部 RLowerElbow
G殖民地电视01LOD2 GColonyTv01Lod2
GSe中型墙柱完整LOD4 GSeWallmedPillarFullLod4
GIl罐LOD4 GIlCanisterLod4
C子弹7 CBullet7
C通用碎片大型06 CGenericDebrisLarge06
G森林树01碎肉09 GForestTree01Gibs09
GreenCorpBiosphere01Debris08 GreenCorpBiosphere01Debris08
GPdwLOD1 GPdwLod1
平台套件楼梯B PlatformKitStairsB
GCy障碍栅栏01LOD3 GCyBarrierFence01Lod3
CL肘部胶囊 CLElbowCapsule
额外屏幕06 ExtraScreen06
L髋部活塞3结束 LHipPiston3End
G殖民地栏杆4m无护板LOD2 GColonyRailing4mNoplateLod2
GSignMaintainSafeDistanceLod1 GSignMaintainSafeDistanceLod1
G战壕墙1m01阴影LOD2 GTrenchWall1m01ShadowLod2
G平台套件楼梯阴影 GPlatformKitStairsShadow
血肉结束 GoreEnd
装填右 ReloadRight
GHabs通风墙013阴影LOD2 GHabsVentilationWall013ShadowLod2
G弹药箱03阴影 GAmmoBox03Shadow
G战壕墙中型柱02LOD1 GTrenchWallMediumPillar02Lod1
L嘴翼片下部结束 LMouthFlapLowerEnd
StrategemSeDest01Cg StrategemSeDest01Cg
附加特效R引擎 AttachFxREngine
G通用碎片小型012LOD2 GGenericDebrisSmall012Lod2
BulbSurface2 BulbSurface2
手雷7 Grenade7
GIl墙圆形低6rLOD5 GIlWallCircleLow6rLod5
L火箭舱3 LRocketpod3
C手雷07 CGrenade07
G虫族岩石巨型01 GBugRockMassive01
G地雷阴影LOD2 GMineShadowLod2
C天气叶片高37 CWeatherVaneTall37
G巢穴领主中部件阴影 GHiveLordMidpieceShadow
身体左 BodyLeft
启用椭圆 EnableEllipse
GIl柱完整小型废墟碎石碎片04 GIlPillarWholeSmallRubbleDebris04
G战壕墙柱01阴影LOD2 GTrenchWallPillar01ShadowLod2
G孢子集群03LOD2 GSporeCluster03Lod2
C碰撞013 CCollision013
GSe轰炸机已摧毁左门LOD5 GSeBomberDestroyedLeftDoorLod5
FeedTray FeedTray
GPortablePot01Shadow GPortablePot01Shadow
LSeatstrap2 LSeatstrap2
生成器 Generator
装填步枪 ReloadRifle
G日志中型01LOD4 GLogMedium01Lod4
GHabsForklift01Shadow GHabsForklift01Shadow
GGenericDebrisRustShadowLod3 GGenericDebrisRustShadowLod3
内部椭圆遮罩宽度 InnerEllipseMaskWidth
G岩石岩屑02LOD2 GRockyTalus02Lod2
GRadarWagonLod1 GRadarWagonLod1
G幂基地群体01碎片01 GPowerStationHorde01Debris01
G游戏切片01LOD1 GGameSlice01Lod1
C导航悬挑4 CNavigationOverhang4
门舱门R DoorHatchR
G冰柱石笋01 GIcicleStalagmites01
Ui3dShadowCamera1 Ui3dShadowCamera1
R头部038关节 RHead038Jnt
G螺栓动作步枪LOD5 GBoltActionRifleLod5
G虫族生成器中型01阴影 GBugSpawnerMedium01Shadow
半机械人掩体碎片01 CyborgBunkerDebris01
横幅右顶部2 BannerRightTop2
G男性士兵尸体03 GMaleSoldierCorpse03
GIl遭遇舰船已着陆废墟碎石LOD4 GIlEncounterShipLandedRubbleLod4
G碰撞 GCollision
CR前角翼片2 CRFrontCornerflap2
GSe轰炸机已摧毁主身体尾部LOD4 GSeBomberDestroyedMainBodyTailLod4
载具损伤数据平铺 VehicleDamageDataTile
GHabs球形坦克大型01LOD4 GHabsSphericalTankLarge01Lod4
C天气叶片高19 CWeatherVaneTall19
R武器右舱门 RWeaponRightHatch
G能量护盾 GEnergyShield
G骨骼生物12LOD1 GBoneCreature12Lod1
FxLThrusterBelly FxLThrusterBelly
MWallSectionRubble MWallSectionRubble
G垃圾桶盖01LOD4 GTrashbinLid01Lod4
LUpperAirbrakePiston2 LUpperAirbrakePiston2
C0 C0
CyDetainedPrisoners01 CyDetainedPrisoners01
G护盾生成器背包LOD4 GShieldGeneratorBackpackLod4
L头部06关节 LHead06Jnt
附加2 Attach2
G战壕墙1m01LOD5 GTrenchWall1m01Lod5
G平台套件地面4m4m GPlatformKitFloor4m4m
Eject02 Eject02
倾斜握把激光 AngledGripLaser
胡须32 Beard32
G栏杆2m掩体LOD3 GRailing2mCoverLod3
枪套刀 HolsterKnife
手柄结束 HandleEnd
G草原英雄悬崖02LOD5 GSavannaHeroCliff02Lod5
臀部抖动 ButtJiggle
虫族尸体战士04 BugCorpseWarrior04
GMechanicalBugholeLod2 GMechanicalBugholeLod2
翼左受损 WingLeftDamaged
GIlSteamExhaust01Lod1 GIlSteamExhaust01Lod1
R箱02 RBox02
绘制C4 DrawC4
G标志生成器01LOD1 GSignSpawner01Lod1
G游戏切片02LOD2 GGameSlice02Lod2
G无人机机枪背包阴影LOD2 GDroneMgBackpackShadowLod2
G箱机库01 GBoxHangar01
躯干完整 TorsoWhole
GIl柱完整大型LOD5 GIlPillarWholeLargeLod5
弹药箱01 Ammobox01
B06 B06
G战争头部LOD3 GWarheadLod3
顶部右 TopRight
G城市车辆02阴影 GCityCar02Shadow
R额外中部手指2 RExtraMiddleFinger2
GCy火炮外壳空01LOD1 GCyArtilleryShellEmpty01Lod1
R前顶部面板1 RFrontTopPanel1
G通用碎片中型08LOD2 GGenericDebrisMedium08Lod2
舱门支撑06 HatchSupport06
R领口41 RCollar41
MSuperUraniumSample01 MSuperUraniumSample01
Bloom Bloom
R后腿脚趾前 RBackLegToeFront
G磁轨炮阴影LOD2 GRailgunShadowLod2
CIl遭遇舰船已着陆废墟碎石13 CIlEncounterShipLandedRubble13
G搜索光照LOD2 GSearchlightLod2
CeilingLampLong02 CeilingLampLong02
CL前角翼片2 CLFrontCornerflap2
GHabs着陆垫坡道01LOD2 GHabsLandingPadRamp01Lod2
AttachTurretSeg2Lft2 AttachTurretSeg2Lft2
G沙袋堆02LOD5 GSandbagPile02Lod5
GUnderbarrelGrenadeLauncher GUnderbarrelGrenadeLauncher
Grp腿部髋部内衣套件女性 GrpLegsHipsUndergarmentKitFemale
DeadRepeat DeadRepeat
G岩石废墟碎石01LOD4 GRockRubble01Lod4
树巢01 TreeNest01
护盾完整 ShieldWhole
G岩石悬崖面部01LOD3 GRockCliffFace01Lod3
G极地岩石通用大型02LOD5 GArcticRockGenericLarge02Lod5
附加光照1 AttachLight1
C生成器灯02 CGeneratorLamp02
SmgFlamerMagazineHelical SmgFlamerMagazineHelical
GFrv机枪 GFrvMg
G腿部髋部内衣套件女性LOD2 GLegsHipsUndergarmentKitFemaleLod2
骨骼生物08 BoneCreature08
G征召兵头部01阴影LOD2 GConscriptHead01ShadowLod2
G虫族巢穴墙中型 GBugHiveWallMedium
G殖民地建筑小型01阴影 GColonyBuildingSmall01Shadow
GXlPipeElectricalGrid01ShadowLod1 GXlPipeElectricalGrid01ShadowLod1
G废墟碎石02阴影LOD1 GRubble02ShadowLod1
通用碎片组细节01 GenericDebrisSetDetail01
主 Main
GHabs着陆垫01LOD3 GHabsLandingPad01Lod3
C废墟废料堆5m01 CRuinScrapHeap5m01
G研究基地废墟碎石LOD3 GResearchStationRubbleLod3
M破片手雷 MFragGrenade
C天气叶片高25 CWeatherVaneTall25
G废墟碎石碰撞切片018 GRubbleCollisionSlice018
光照L2 LightL2
C脊柱2球体 CSpine2Sphere
关闭 Closed
边缘噪声贴图 EdgeNoiseMap
CeilingShell CeilingShell
G微型导弹阴影 GMiniMissileShadow
G细节光照01 GDetailLight01
自发光变化 EmissiveVariation
GIl炮塔01阴影 GIlTurret01Shadow
CKneecapL CKneecapL
C碰撞01金属度02 CCollision01Metal02
G柜台角落01 GCounterCorner01
CeilingAircon CeilingAircon
GHabs地面坦克01碎片03 GHabsGroundTank01Debris03
G岩石英雄柱01LOD4 GRockHeroPillar01Lod4
MJacket1 MJacket1
TimerSteps TimerSteps
M机库箱小型01 MHangarCrateSmall01
C通用碎片大型03 CGenericDebrisLarge03
气体手雷 GasGrenade
森林树02碎肉 ForestTree02Gibs
光照左1 LightLeft1
GXlPipeElectricalGridShadowLod1 GXlPipeElectricalGridShadowLod1
G虫族羊肚菌集群01LOD2 GBugMorelCluster01Lod2
充能结束 ChargeEnd
GMacheteSheathShadowLod3 GMacheteSheathShadowLod3
G半机械人炮塔高LOD4 GCyborgTurretTallLod4
内部辉光生命周期修饰器 InnerGlowLifetimeModifier
G天气叶片高01LOD1 GWeatherVaneTall01Lod1
G冰冰柱01 GIceIcicle01
GSignElectricity01 GSignElectricity01
GSe旗帜水平02LOD3 GSeFlagHorizontal02Lod3
G树桩大型01阴影LOD2 GStumpLarge01ShadowLod2
GBugIdol01Shadow GBugIdol01Shadow
G沙质岩石倾斜中型01阴影LOD1 GSandyRockTiltedMedium01ShadowLod1
G虫族黏液枕头03 GBugGoopPillow03
GIl尸体堆大型03 GIlCorpsePileLarge03
G沙质圆形岩石中型03 GSandyRoundRockMedium03
Elevation Elevation
G极地岩石通用中型06LOD4 GArcticRockGenericMedium06Lod4
LaserRifleLong LaserRifleLong
GPlantSample01Lod2 GPlantSample01Lod2
GSwordShadowLod2 GSwordShadowLod2
GPlatformKitSquareThin4mLod1 GPlatformKitSquareThin4mLod1
GPipesSinglepipe01Lod4 GPipesSinglepipe01Lod4
纹理01UV指数 Tex01UvExp
Frv进入前左 FrvEnterFrontLeft
MEmissiveOrange MEmissiveOrange
GIl掩体墙结束02LOD3 GIlCoverWallEnd02Lod3
武器架 WeaponRack
门枢轴 DoorPivot
C掩体门06 CBunkerDoor06
CbLastWorld CbLastWorld
可受损身体 DamageableBody
Lav机枪 LavMg
G冲锋枪喷火器阴影LOD2 GSmgFlamerShadowLod2
GHabs球形油坦克01 GHabsSphericalOilTank01
炮R01Se目标02 CannonR01SeDest02
GSe旗帜水平01LOD1 GSeFlagHorizontal01Lod1
绘制完成 DrawDone
死亡结束 DeathEnd
R炮塔俯仰02 RTurretPitch02
G广告牌杆小型01LOD5 GBillboardPoleSmall01Lod5
G半机械人炮艇生成器LOD3 GCyborgGunshipSpawnerLod3
M极地岩石巨型02 MArcticRockMassive02
Gut01 Gut01
GPropsTrash01Lod1 GPropsTrash01Lod1
腿左后外部顶部 LegLeftBackOuterTop
C盖1 CLid1
C头部R后 CHeadRBack
G废墟掩体直线2m02阴影LOD1 GRuinCoverStraight2m02ShadowLod1
G轮胎堆叠06 GTireStack06
L中部手指3V2 LMiddleFinger3v2
G脚手架走道01LOD3 GScaffoldingWalkway01Lod3
RForelegElbow RForelegElbow
G武器附件箱LOD2 GWeaponAttachmentBoxLod2
前盖外部盖2 FrontLidOuterLid2
Cy垃圾组02 CyTrashSet02
G男性士兵尸体03LOD4 GMaleSoldierCorpse03Lod4
G虫族羊肚菌集群02LOD1 GBugMorelCluster02Lod1
G平台套件地面角落LOD1 GPlatformKitFloorCornerLod1
